domainId,categoryId,categoryTitle,breadcrumb,mediaGroup,name,subName,pen,sel,reach,benchmarkPen
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment E,BMW 5 Series,12.5,1.46,40218,8.561643835616438
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment B,Renault ZOE,7.6,1.46,24522,5.205479452054794
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment SUV (L),Volkswagen Touareg,5.8,1.46,18461,3.9726027397260273
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment C+,Mercedes-Benz B-Class,5.5,1.46,17626,3.767123287671233
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Dodge Durango (vehicle),,0.5,1.46,1740,0.3424657534246575
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment SUV (M),Audi Q5,16.6,1.45,53363,11.448275862068966
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment SUV - Large,Jeep Grand Cherokee,13.7,1.45,44063,9.448275862068966
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment E,Volkswagen Passat,13,1.45,41587,8.965517241379311
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment F,Audi A7,10.9,1.45,34995,7.517241379310345
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment D,Mercedes-Benz CLA-Class,10.8,1.45,34699,7.448275862068966
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment F,Audi A8,10.1,1.45,32337,6.9655172413793105
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment SUV (XS),Mini Countryman,8.6,1.45,27588,5.931034482758621
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment SUV - small,Jeep Wrangler,7.6,1.45,24367,5.241379310344827
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment F,Mercedes-Benz CLS-Class,6.4,1.45,20665,4.413793103448276
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Mercedes-Benz GL-Class (vehicle),,3.1,1.45,10089,2.137931034482759
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment D,Hyundai Sonata,0.9,1.45,2895,0.6206896551724138
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment B,Volkswagen Polo,22.5,1.44,72268,15.625
brands-relationship,brands-relationship-automotive-s-segments,Automotive's Segments,Brands relationship > Automotive's Segments,Automotive & mobility,Segment SUV (S),Audi Q3,19.6,1.44,62773,13.611111111111112
