Criteria Name;Target Size;Benchmark Size;Target Penetration;Benchmark Penetration;Score
Public transport;229744;3729917;0.7161596009975062;0.4781944871794872;98
Punk Fashion;2991;78558;0.00932356608478803;0.010071538461538462;12
Racers;51526;1082089;0.16061720698254364;0.13872935897435898;68
Racing Games;69992;1446641;0.2181795511221945;0.18546679487179488;75
Radio;104193;2595161;0.32479114713216956;0.3327129487179487;52
Rally sport;166788;3492624;0.5199127182044888;0.4477723076923077;89
Rap Music;31936;970439;0.09955112219451372;0.12441525641025641;4
Reading & Writing;227847;6479185;0.710246259351621;0.8306647435897436;46
Reading style;131044;3871594;0.40849127182044886;0.4963582051282051;19
Real estate;232925;5034612;0.7260754364089775;0.6454630769230769;91
Recording;54188;1226410;0.1689152119700748;0.15723205128205128;56
Reggae Music;20569;516298;0.06411783042394015;0.06619205128205129;24
Remodeling & Construction;41786;762685;0.13025561097256858;0.0977801282051282;80
Renewable energy;198572;3837150;0.6189900249376559;0.4919423076923077;94
Renting;142523;3120124;0.44427369077306733;0.40001589743589744;81
Restaurants;163712;4335175;0.5103241895261845;0.5557916666666667;54
Retailer;235737;6442432;0.7348410224438903;0.8259528205128205;61
Retired;44594;958205;0.13900872817955112;0.12284679487179487;62
Retirement;59748;1298474;0.18624688279301746;0.16647102564102564;65
Rhythm & Blues music;67132;1844054;0.2092643391521197;0.2364171794871795;21
Right politics;234912;5264921;0.7322693266832918;0.6749898717948718;89
Rnb;43400;1193312;0.13528678304239403;0.15298871794871796;16
Rock & Roll music;52820;1485467;0.16465087281795512;0.19044448717948717;13
Rock music;132993;3783229;0.41456670822942643;0.48502935897435895;29
Romance;8164;258326;0.025448877805486284;0.03311871794871795;2
Rugby;17393;406517;0.054217581047381544;0.0521175641025641;35
Running;149677;4073557;0.4665741895261845;0.5222508974358975;42
Running apps;3783;88917;0.011792394014962593;0.011399615384615385;29
Rural;44706;1005709;0.139357855361596;0.12893705128205127;53
SUVs;185955;2942849;0.5796602244389027;0.37728833333333334;98
Sandbox Games;26285;596871;0.0819357855361596;0.07652192307692307;42
Sci-Fi Games;4531;96113;0.014124064837905237;0.012322179487179487;44
Science fiction;110099;3097123;0.34320137157107233;0.3970670512820513;26
Science fiction movies;66911;1748957;0.20857543640897755;0.22422525641025642;31
Second-hand;234651;4092388;0.7314557356608479;0.5246651282051282;97
Security;77894;1477648;0.24281172069825435;0.18944205128205127;84
Sedans;166250;2614293;0.5182356608478803;0.33516576923076924;97
Serie A;29597;652816;0.09225997506234414;0.08369435897435898;50
Shoes;200710;5175816;0.6256546134663342;0.6635661538461538;69
Short movies;25997;647223;0.08103802992518704;0.0829773076923077;28
Simulation Games;90527;2104441;0.28219139650872815;0.2698001282051282;64
Singers;53404;1516169;0.1664713216957606;0.19438064102564104;12
Skateboard;51402;1235491;0.16023067331670823;0.15839628205128206;41
Skin & Cosmetics;209109;5781870;0.6518360349127182;0.7412653846153846;52
Small enterprises (11-100 employees);20144;657438;0.0627930174563591;0.08428692307692308;1
Smart devices;206741;3952426;0.6444544887780549;0.5067212820512821;95
Smartphones;226604;7638444;0.7063715710723192;0.9792876923076923;3
Sneaker;71582;2036550;0.2231359102244389;0.26109615384615387;16
Social issues conscious;231655;5768099;0.7221165835411472;0.7394998717948718;78
Social movement;52540;1182252;0.1637780548628429;0.15157076923076923;57
Social networks;233588;6636236;0.728142144638404;0.8507994871794872;48
Soda;43944;988639;0.13698254364089776;0.12674858974358974;52
Soft Mobility;191144;3537658;0.5958354114713217;0.45354589743589746;95
Soft drinks;210083;4833008;0.6548721945137157;0.6196164102564102;85
Something New;157624;3502777;0.49134663341645884;0.44907397435897434;82
Soul Music;49967;1413341;0.1557574812967581;0.1811975641025641;12
Sparkling water;16131;360133;0.050283665835411474;0.04617089743589744;40
Spice;8667;203151;0.027016832917705735;0.026045;31
Sport;206411;4694209;0.6434258104738154;0.6018216666666667;86
Sport Federations;124622;2926080;0.3884725685785536;0.37513846153846153;70
